,Nombre,Último,Máximo,Mínimo,Var.,% Var.,Vol.,Hora
330,Capri Holdings,"52,64","53,64","51,87","-0,16","-0,30%","2,28M",21:59:59
331,Alexandria RE,"193,87","197,73","193,55","-4,26","-2,15%","2,27M",21:59:59
332,Quanta Services,"118,42","118,91","116,35","+1,55","+1,33%","2,26M",21:59:59
333,Church&Dwight,"83,59","83,98","83,20","+0,10","+0,12%","2,25M",21:59:59
334,Dollar General,"222,11","224,38","221,46","+0,55","+0,25%","2,24M",21:59:59
335,Alliant Energy,"57,83","58,97","57,63","-0,82","-1,40%","2,23M",21:59:59
336,L3Harris Technologies,"222,46","223,62","220,67","+1,43","+0,65%","2,22M",21:59:59
337,Skyworks,"175,26","178,42","173,60","-3,48","-1,95%","2,22M",21:59:59
338,Pinnacle West,"73,82","74,66","73,18","+0,47","+0,64%","2,20M",21:59:59
339,Textron,"68,46","68,97","68,06","-0,17","-0,25%","2,20M",21:59:59
340,Vertex,"188,30","188,54","184,78","+1,20","+0,64%","2,17M",21:59:59
341,AO Smith,"65,28","66,47","64,95","-1,38","-2,07%","2,17M",21:59:59
342,Ecolab,"218,34","222,89","218,01","-5,23","-2,34%","2,13M",21:59:59
343,Omnicom,"73,09","73,95","72,73","-0,21","-0,29%","2,12M",21:59:59
344,Norfolk Southern,"246,04","248,87","245,15","-1,96","-0,79%","2,12M",21:59:59
345,CBRE A,"95,78","97,64","95,21","-1,51","-1,55%","2,11M",21:59:59
346,Autodesk,"288,15","292,20","286,54","-2,53","-0,87%","2,10M",21:59:59
347,SL Green,"68,36","69,19","68,28","-0,39","-0,57%","2,09M",21:59:59
348,Albemarle,"226,85","230,00","223,75","-4,40","-1,90%","2,09M",21:59:59
349,Iron Mountain,"44,90","45,24","44,71","-0,01","-0,02%","2,07M",21:59:59
350,Take-Two,"151,66","151,99","148,87","-0,23","-0,15%","2,07M",21:59:59
351,Lockheed Martin,"340,98","342,81","339,15","-0,52","-0,15%","2,05M",21:59:59
352,Global Payments,"162,03","163,88","161,03","-1,96","-1,20%","2,05M",21:59:59
353,Synopsys,"325,54","331,33","319,83","-9,84","-2,93%","2,04M",21:59:59
354,Illinois Tool Works,"215,89","217,06","214,55","-1,95","-0,90%","2,02M",21:59:59
355,McKesson,"207,75","208,89","206,70","-0,02","-0,01%","2,00M",21:59:59
356,Aptiv,"146,43","148,70","144,98","-2,75","-1,84%","1,99M",21:59:59
357,Cummins,"227,69","228,84","226,34","-2,02","-0,88%","1,98M",21:59:59
358,Sealed Air,"56,27","57,91","56,06","-1,58","-2,73%","1,97M",21:59:59
359,TripAdvisor,"35,79","36,57","35,39","+0,06","+0,17%","1,96M",21:59:59
360,Leggett&Platt,"46,16","46,54","45,98","-0,44","-0,94%","1,92M",21:59:59
361,American Water Works,"178,04","181,41","177,54","-3,66","-2,01%","1,91M",21:59:59
362,KLA-Tencor,"369,81","374,60","366,61","-2,21","-0,59%","1,89M",21:59:59
363,Eastman Chemical,"103,09","104,66","101,93","-1,87","-1,78%","1,88M",21:59:59
364,Qorvo Inc,"175,30","178,80","172,52","-5,01","-2,78%","1,88M",21:59:59
365,CME Group,"188,65","189,68","187,62","-0,04","-0,02%","1,87M",21:59:59
366,Sherwin-Williams,"293,74","297,04","293,02","-4,28","-1,44%","1,86M",21:59:59
367,Lam Research,"608,98","616,23","603,64","-6,87","-1,12%","1,84M",21:59:59
368,Anthem,"379,52","381,49","373,76","+4,58","+1,22%","1,84M",21:59:59
369,PPG Industries,"146,74","149,70","146,35","-3,05","-2,04%","1,82M",21:59:59
370,Zimmer Biomet,"146,72","146,93","144,35","+0,49","+0,34%","1,80M",21:59:59
371,Allegion PLC,"138,44","141,97","138,12","-2,76","-1,95%","1,79M",21:59:59
372,Intuit,"561,85","572,84","560,67","-11,03","-1,93%","1,77M",21:59:59
373,Ameren,"83,60","85,40","83,48","-1,45","-1,70%","1,76M",21:59:59
374,JM Smucker,"123,00","123,79","121,76","+0,31","+0,25%","1,75M",21:59:59
375,Hilton Worldwide,"131,21","133,44","130,84","-0,81","-0,61%","1,75M",21:59:59
376,Illumina,"447,01","453,92","443,50","-2,91","-0,65%","1,73M",21:59:59
377,Constellation Brands A,"214,85","215,44","214,03","-0,60","-0,28%","1,71M",21:59:59
378,Air Products,"261,83","264,44","259,62","-4,59","-1,72%","1,70M",21:59:59
379,AmerisourceBergen,"123,47","124,93","122,98","-0,76","-0,61%","1,69M",21:59:59
380,DaVita,"121,55","122,35","121,00","+0,29","+0,24%","1,69M",21:59:59
381,T Rowe,"213,51","216,70","212,00","-1,52","-0,71%","1,68M",21:59:59
382,Lamb Weston Holdings,"61,57","62,12","61,32","-0,30","-0,48%","1,68M",21:59:59
383,M&T Bank,"137,55","138,94","137,01","+0,04","+0,03%","1,67M",21:59:59
384,Estee Lauder,"319,88","323,59","318,55","-3,25","-1,01%","1,66M",21:59:59
385,Nektar,"16,51","16,58","15,94","+0,25","+1,54%","1,65M",21:59:59
386,Fortune Brands,"94,75","95,04","93,99","-0,39","-0,41%","1,64M",21:59:59
387,Dentsply,"61,23","62,60","60,90","-0,98","-1,58%","1,62M",21:59:59
388,Northrop Grumman,"350,24","355,75","347,02","+0,58","+0,17%","1,62M",21:59:59
389,Aon,"289,23","292,88","288,86","-2,90","-0,99%","1,62M",21:59:59
390,Ametek,"130,14","131,95","130,01","-2,24","-1,69%","1,61M",21:59:59
391,Darden Restaurants,"149,43","150,30","147,80","-0,87","-0,58%","1,59M",21:59:59
392,CarMax,"140,29","142,08","138,90","+0,60","+0,43%","1,59M",21:59:59
393,Stanley Black Decker,"186,24","188,89","185,98","-1,48","-0,79%","1,58M",21:59:59
394,Fortinet,"299,49","304,41","296,81","-4,57","-1,50%","1,55M",21:59:59
395,News Corp,"21,73","22,01","21,61","-0,27","-1,23%","1,53M",21:59:59
396,Equifax,"268,49","273,87","267,81","-5,51","-2,01%","1,52M",21:59:59
397,Verisk,"201,10","202,18","200,11","-1,35","-0,67%","1,52M",21:59:59
398,Globe Life,"89,67","92,35","89,33","-2,18","-2,37%","1,51M",21:59:59
399,Expeditors Washington,"123,74","126,09","122,84","-2,98","-2,35%","1,50M",21:59:59
400,Biogen,"300,19","300,85","296,56","+0,50","+0,17%","1,49M",21:59:59
401,S&P Global,"446,42","453,81","445,04","-7,63","-1,68%","1,48M",21:59:59
402,PerkinElmer,"187,56","188,65","184,87","+1,69","+0,91%","1,47M",21:59:59
403,Garmin,"167,26","168,98","165,87","-1,36","-0,81%","1,44M",21:59:59
404,Boston Properties,"109,99","111,31","109,88","-1,18","-1,06%","1,44M",21:59:59
405,Xylem,"131,56","132,96","130,88","-1,32","-0,99%","1,44M",21:59:59
406,Public Storage,"311,04","318,09","310,25","-6,35","-2,00%","1,40M",21:59:59
407,Motorola,"237,42","242,41","236,56","-4,90","-2,02%","1,39M",21:59:59
408,Hasbro,"97,53","98,67","96,53","-1,21","-1,23%","1,38M",21:59:59
409,Dover,"162,64","163,99","161,48","-1,61","-0,98%","1,35M",21:59:59
410,Gartner,"310,33","317,33","309,28","-5,60","-1,77%","1,35M",21:59:59
411,Arista Networks,"359,13","363,13","355,37","-5,80","-1,59%","1,35M",21:59:59
412,Northern Trust,"108,20","110,16","107,26","-1,35","-1,23%","1,31M",21:59:59
413,Humana,"407,79","408,82","397,25","+8,62","+2,16%","1,31M",21:59:59
414,Parker-Hannifin,"287,63","293,86","284,89","-1,91","-0,66%","1,30M",21:59:59
415,Flowserve,"34,78","35,28","34,51","-0,59","-1,67%","1,30M",21:59:59
416,Packaging America,"141,02","143,13","140,45","-2,69","-1,87%","1,30M",21:59:59
417,Celanese,"148,91","152,50","147,87","-3,45","-2,26%","1,29M",21:59:59
418,Hershey Co,"175,07","176,21","174,66","-0,49","-0,28%","1,28M",21:59:59
419,Nasdaq Inc,"192,90","194,91","191,00","-2,53","-1,29%","1,26M",21:59:59
420,Vulcan Materials,"169,88","172,81","169,59","-2,65","-1,54%","1,26M",21:59:59
421,Universal Health Services,"145,92","147,22","144,51","-0,97","-0,66%","1,26M",21:59:59
422,BlackRock,"876,63","887,56","868,80","-13,81","-1,55%","1,25M",21:59:59
423,Raymond James Financial,"133,71","135,73","132,59","-0,74","-0,55%","1,24M",21:59:59
424,AvalonBay,"219,89","223,95","219,30","-3,79","-1,69%","1,23M",21:59:59
425,Kansas City Southern,"277,46","280,58","276,54","-2,41","-0,86%","1,23M",21:59:59
426,Henry Schein,"77,47","78,81","77,26","-0,90","-1,15%","1,20M",21:59:59
427,Tractor Supply,"207,16","209,26","206,00","-2,26","-1,08%","1,19M",21:59:59
428,VeriSign,"218,77","224,52","217,50","-5,96","-2,65%","1,18M",21:59:59
429,Mohawk Industries,"181,82","184,80","179,98","-3,16","-1,71%","1,18M",21:59:59
430,Moodys,"370,00","378,70","368,78","-10,33","-2,72%","1,17M",21:59:59
431,Robert Half,"101,06","102,88","100,72","-1,89","-1,84%","1,16M",21:59:59
432,Atmos Energy,"89,09","89,99","89,07","-0,67","-0,75%","1,16M",21:59:59
433,Keysight Technologies,"177,45","179,99","177,18","-2,33","-1,30%","1,16M",21:59:59
434,Cintas,"392,86","399,85","391,82","-6,69","-1,67%","1,13M",21:59:59
435,Laboratory America,"295,93","297,94","293,58","-0,90","-0,30%","1,13M",21:59:59
436,Extra Space Storage,"180,11","185,29","179,76","-2,83","-1,55%","1,13M",21:59:59
437,Jacobs Engineering,"130,55","133,78","130,30","-3,14","-2,35%","1,12M",21:59:59
438,Ameriprise Financial,"269,55","273,71","267,70","-1,70","-0,63%","1,10M",21:59:59
439,Cincinnati Financial,"116,45","118,39","116,32","-1,44","-1,22%","1,09M",21:59:59
440,PVH,"109,98","111,80","108,77","-0,21","-0,19%","1,09M",21:59:59
441,Mid-America Apartment,"187,48","191,47","187,46","-3,87","-2,02%","1,08M",21:59:59
